Party Name,Voucher Date,Item Name,Quantity,Amount,Cost,Closing Balance
Apex Logistics Ltd,2025-11-01,Cloud Infrastructure Managed Services,3,240000,182250.0,350000.0
Horizon Enterprises,2025-11-01,Custom System Integration,2,500000,432000.0,0.0
Horizon Enterprises,2025-11-01,Cloud Infrastructure Managed Services,1,80000,60750.0,0.0
Apex Logistics Ltd,2025-11-02,Enterprise Consulting Package,3,450000,364500.0,350000.0
Apex Logistics Ltd,2025-11-03,Software License Subscription,3,105000,60750.0,350000.0
Horizon Enterprises,2025-11-03,Cloud Infrastructure Managed Services,3,240000,182250.0,0.0
Pioneer Trading Co,2025-11-03,Cloud Infrastructure Managed Services,1,80000,60750.0,0.0
Apex Logistics Ltd,2025-11-05,Enterprise Consulting Package,2,300000,243000.0,350000.0
Apex Logistics Ltd,2025-11-05,Cloud Infrastructure Managed Services,2,160000,121500.0,350000.0
Zenith Tech Systems,2025-11-05,Custom System Integration,3,750000,648000.0,850000.0
Horizon Enterprises,2025-11-06,Cloud Infrastructure Managed Services,1,80000,60750.0,0.0
Horizon Enterprises,2025-11-06,Custom System Integration,1,250000,216000.0,0.0
Vanguard Solutions,2025-11-07,Custom System Integration,3,750000,648000.0,1250000.0
Apex Logistics Ltd,2025-11-07,Annual Maintenance & Support,2,100000,67500.0,350000.0
Apex Logistics Ltd,2025-11-10,Annual Maintenance & Support,1,50000,33750.0,350000.0
Apex Logistics Ltd,2025-11-10,Software License Subscription,2,70000,40500.0,350000.0
Apex Logistics Ltd,2025-11-10,Cloud Infrastructure Managed Services,3,240000,182250.0,350000.0
Apex Logistics Ltd,2025-11-11,Custom System Integration,1,250000,216000.0,350000.0
Pioneer Trading Co,2025-11-11,Annual Maintenance & Support,2,100000,67500.0,0.0
Horizon Enterprises,2025-11-14,Custom System Integration,4,1000000,864000.0,0.0
Vanguard Solutions,2025-11-19,Enterprise Consulting Package,3,450000,364500.0,1250000.0
Apex Logistics Ltd,2025-11-21,Software License Subscription,4,140000,81000.0,350000.0
Apex Logistics Ltd,2025-11-24,Annual Maintenance & Support,4,200000,135000.0,350000.0
Beacon Industries,2025-11-24,Enterprise Consulting Package,1,150000,121500.0,0.0
Apex Logistics Ltd,2025-11-24,Annual Maintenance & Support,2,100000,67500.0,350000.0
Apex Logistics Ltd,2025-11-26,Enterprise Consulting Package,4,600000,486000.0,350000.0
Vanguard Solutions,2025-11-26,Annual Maintenance & Support,2,100000,67500.0,1250000.0
Vanguard Solutions,2025-11-28,Software License Subscription,3,105000,60750.0,1250000.0
Apex Logistics Ltd,2025-11-28,Enterprise Consulting Package,4,600000,486000.0,350000.0
Apex Logistics Ltd,2025-11-28,Enterprise Consulting Package,3,450000,364500.0,350000.0
Horizon Enterprises,2025-12-01,Cloud Infrastructure Managed Services,3,240000,182250.0,0.0
Apex Logistics Ltd,2025-12-01,Enterprise Consulting Package,3,450000,364500.0,350000.0
Horizon Enterprises,2025-12-02,Custom System Integration,1,250000,216000.0,0.0
Apex Logistics Ltd,2025-12-05,Custom System Integration,3,750000,648000.0,350000.0
Apex Logistics Ltd,2025-12-05,Annual Maintenance & Support,1,50000,33750.0,350000.0
Pioneer Trading Co,2025-12-06,Custom System Integration,3,750000,648000.0,0.0
Vanguard Solutions,2025-12-06,Annual Maintenance & Support,2,100000,67500.0,1250000.0
Apex Logistics Ltd,2025-12-07,Annual Maintenance & Support,2,100000,67500.0,350000.0
Apex Logistics Ltd,2025-12-10,Cloud Infrastructure Managed Services,4,320000,243000.0,350000.0
Summit Global Services,2025-12-13,Software License Subscription,3,105000,60750.0,0.0
Zenith Tech Systems,2025-12-13,Custom System Integration,2,500000,432000.0,850000.0
Zenith Tech Systems,2025-12-18,Software License Subscription,1,35000,20250.0,850000.0
Apex Logistics Ltd,2025-12-18,Enterprise Consulting Package,3,450000,364500.0,350000.0
Apex Logistics Ltd,2025-12-20,Custom System Integration,3,750000,648000.0,350000.0
Apex Logistics Ltd,2025-12-20,Enterprise Consulting Package,4,600000,486000.0,350000.0
Zenith Tech Systems,2025-12-22,Enterprise Consulting Package,4,600000,486000.0,850000.0
Pioneer Trading Co,2025-12-22,Software License Subscription,2,70000,40500.0,0.0
Apex Logistics Ltd,2025-12-24,Enterprise Consulting Package,4,600000,486000.0,350000.0
Apex Logistics Ltd,2025-12-24,Custom System Integration,1,250000,216000.0,350000.0
Apex Logistics Ltd,2025-12-27,Annual Maintenance & Support,4,200000,135000.0,350000.0
Beacon Industries,2025-12-27,Software License Subscription,2,70000,40500.0,0.0
Apex Logistics Ltd,2025-12-27,Custom System Integration,4,1000000,864000.0,350000.0
Apex Logistics Ltd,2025-12-29,Custom System Integration,1,250000,216000.0,350000.0
Apex Logistics Ltd,2026-01-02,Software License Subscription,2,70000,30000.0,350000.0
Apex Logistics Ltd,2026-01-02,Software License Subscription,2,70000,30000.0,350000.0
Summit Global Services,2026-01-04,Cloud Infrastructure Managed Services,2,160000,90000.0,0.0
Pioneer Trading Co,2026-01-10,Enterprise Consulting Package,4,600000,360000.0,0.0
Apex Logistics Ltd,2026-01-10,Custom System Integration,2,500000,320000.0,350000.0
Summit Global Services,2026-01-11,Cloud Infrastructure Managed Services,2,160000,90000.0,0.0
Apex Logistics Ltd,2026-01-11,Annual Maintenance & Support,2,100000,50000.0,350000.0
Zenith Tech Systems,2026-01-12,Enterprise Consulting Package,1,150000,90000.0,850000.0
Apex Logistics Ltd,2026-01-16,Software License Subscription,2,70000,30000.0,350000.0
Apex Logistics Ltd,2026-01-19,Custom System Integration,2,500000,320000.0,350000.0
Summit Global Services,2026-01-19,Software License Subscription,3,105000,45000.0,0.0
Apex Logistics Ltd,2026-01-22,Annual Maintenance & Support,3,150000,75000.0,350000.0
Summit Global Services,2026-01-22,Cloud Infrastructure Managed Services,2,160000,90000.0,0.0
Summit Global Services,2026-01-24,Cloud Infrastructure Managed Services,4,320000,180000.0,0.0
Vanguard Solutions,2026-01-24,Cloud Infrastructure Managed Services,4,320000,180000.0,1250000.0
Summit Global Services,2026-01-24,Annual Maintenance & Support,2,100000,50000.0,0.0
Summit Global Services,2026-01-28,Software License Subscription,1,35000,15000.0,0.0
Apex Logistics Ltd,2026-01-28,Annual Maintenance & Support,3,150000,75000.0,350000.0
Zenith Tech Systems,2026-01-31,Enterprise Consulting Package,2,300000,180000.0,850000.0
Summit Global Services,2026-02-02,Cloud Infrastructure Managed Services,1,80000,45000.0,0.0
Apex Logistics Ltd,2026-02-02,Custom System Integration,2,500000,320000.0,350000.0
Apex Logistics Ltd,2026-02-04,Enterprise Consulting Package,3,450000,270000.0,350000.0
Zenith Tech Systems,2026-02-05,Annual Maintenance & Support,1,50000,25000.0,850000.0
Apex Logistics Ltd,2026-02-05,Cloud Infrastructure Managed Services,2,160000,90000.0,350000.0
Apex Logistics Ltd,2026-02-08,Enterprise Consulting Package,1,150000,90000.0,350000.0
Zenith Tech Systems,2026-02-10,Software License Subscription,4,140000,60000.0,850000.0
Apex Logistics Ltd,2026-02-11,Enterprise Consulting Package,1,150000,90000.0,350000.0
Apex Logistics Ltd,2026-02-11,Software License Subscription,4,140000,60000.0,350000.0
Zenith Tech Systems,2026-02-12,Cloud Infrastructure Managed Services,1,80000,45000.0,850000.0
Vanguard Solutions,2026-02-15,Custom System Integration,4,1000000,640000.0,1250000.0
Apex Logistics Ltd,2026-02-15,Custom System Integration,2,500000,320000.0,350000.0
Apex Logistics Ltd,2026-02-18,Enterprise Consulting Package,3,450000,270000.0,350000.0
Apex Logistics Ltd,2026-02-18,Software License Subscription,1,35000,15000.0,350000.0
Apex Logistics Ltd,2026-02-20,Cloud Infrastructure Managed Services,3,240000,135000.0,350000.0
Apex Logistics Ltd,2026-02-20,Enterprise Consulting Package,3,450000,270000.0,350000.0
Apex Logistics Ltd,2026-02-21,Enterprise Consulting Package,3,450000,270000.0,350000.0
Apex Logistics Ltd,2026-02-21,Custom System Integration,3,750000,480000.0,350000.0
Zenith Tech Systems,2026-02-24,Cloud Infrastructure Managed Services,4,320000,180000.0,850000.0
Zenith Tech Systems,2026-02-27,Enterprise Consulting Package,4,600000,360000.0,850000.0
Apex Logistics Ltd,2026-02-28,Annual Maintenance & Support,1,50000,25000.0,350000.0
Apex Logistics Ltd,2026-02-28,Custom System Integration,4,1000000,640000.0,350000.0
